visaSubclass,age,english,educationalQualifications,specialEndorsement,financialAssets,businessTurnover,businessInnovationQualifications,overseasSkilledEmployment,australianSkilledEmployment,australianStudyRequirement,specialistEducationQualification,credentialledCommunityLanguage,studyInRegionalAustralia,partnerSkills,professionalYearInAustralia,nomination,businessInnovationStream,investorStream,firstName,lastName
2,0,0,0,1,3,2,2,1,0,0,1,1,1,2,1,0,-1,-1,Viki,Bigner
4,0,1,2,1,-1,,4,3,0,1,0,1,1,0,1,1,0,,Clary,Ajay
1,0,2,0,,-1,1,3,1,4,1,0,0,0,2,0,-1,,,Ebonee,Marisa
0,1,0,1,1,2,-1,0,0,4,1,0,1,1,2,1,0,0,1,Farrah,Isacco
1,1,-1,-1,0,,-1,0,3,2,1,0,1,1,1,0,-1,,0,Blinni,Eachern
1,0,1,0,0,2,0,3,3,2,0,1,0,0,0,1,-1,1,,Angelique,McGrody
3,5,0,1,,1,-1,3,2,3,1,0,1,0,0,1,0,1,1,Chrystel,Solitta
4,3,1,-1,1,3,1,5,1,3,1,1,1,1,1,1,-1,0,-1,Lila,Sophronia
2,6,2,0,0,3,-1,6,3,0,1,1,1,0,2,0,-1,-1,,Aimil,Kazimir
2,3,0,0,0,1,3,0,0,4,1,1,1,0,1,1,-1,1,0,Katleen,Mullane
3,4,1,0,1,0,0,5,3,3,0,0,0,1,1,1,1,1,,Blake,Lory
2,0,-1,1,,-1,-1,4,2,4,0,0,1,0,0,0,1,,,Lonnie,Nickola
4,5,2,0,0,,,0,2,1,0,1,1,0,1,0,1,-1,1,Sheelagh,Gillan
3,0,1,-1,1,3,-1,,0,1,1,1,0,0,1,0,-1,,-1,Kimmy,Zamora
3,5,2,1,,3,-1,,3,1,0,1,1,0,0,0,1,0,0,Sabina,Haerr
4,1,-1,3,1,2,-1,-1,1,0,0,1,0,1,1,1,0,,-1,Carolina,Diann
1,0,0,1,1,1,-1,-1,3,0,0,0,1,1,0,1,-1,0,1,Jolyn,Connelly
2,2,2,2,0,0,,5,1,2,0,1,0,1,0,0,-1,,1,Elfreda,Colbert
0,0,0,2,1,1,2,4,0,3,1,1,0,1,2,1,0,0,1,Gwyneth,Vorster
3,4,0,0,1,1,2,0,1,3,1,0,0,1,1,0,1,-1,1,Annecorinne,Narton
0,4,1,2,1,0,,6,3,3,0,0,0,0,0,1,-1,0,0,Marjie,Abbot
1,5,-1,1,1,2,3,1,1,1,1,0,1,1,1,0,1,,-1,Olwen,Gillan
4,2,1,3,0,1,1,2,3,4,1,0,0,1,0,1,1,-1,,Claudina,Gunn
1,5,-1,-1,0,-1,-1,1,3,0,1,1,0,0,0,1,1,,1,Rosabelle,Bandeen
2,6,-1,3,1,-1,,2,1,2,1,1,1,1,0,1,0,0,1,Elyssa,Dimitris
0,3,1,-1,0,2,1,-1,3,1,0,0,0,1,0,1,0,1,0,Anica,Payson
2,6,2,2,0,2,-1,5,3,3,1,0,1,1,0,0,1,0,1,Korrie,Socha
1,5,1,0,1,1,3,6,1,4,1,0,1,0,0,1,-1,-1,0,Lanna,Burnside
2,5,0,2,0,3,3,3,3,1,1,0,0,1,1,1,1,0,1,Natka,Leopold
4,5,-1,2,,-1,3,5,2,2,1,1,1,0,2,1,0,-1,1,Marita,Gusella
4,5,1,1,0,2,-1,6,0,1,1,0,0,1,2,0,0,-1,-1,Margalo,Giff
4,3,1,-1,0,0,1,5,1,2,1,0,1,0,1,1,1,-1,,Lanae,Quinn
0,2,-1,2,0,-1,3,1,3,1,0,0,0,1,1,1,0,-1,-1,Rosene,Sothena
0,4,1,1,0,-1,3,0,0,2,1,1,1,1,0,1,-1,1,1,Raina,Kiersten
3,1,0,-1,,0,-1,-1,2,1,1,0,1,1,1,0,1,0,-1,Di,Afton
0,5,-1,2,0,3,,4,0,3,1,0,1,0,2,1,1,1,-1,Marcelline,Lanita
4,1,-1,3,,,0,0,2,1,0,0,0,1,1,1,1,,-1,Asia,Matthew
2,5,0,-1,1,1,,6,2,4,0,1,1,0,1,1,1,0,,Merrie,Byrne
0,3,2,2,,2,3,-1,2,4,0,0,0,0,0,0,1,1,,Goldie,Chinua
3,2,2,1,,2,1,4,2,1,1,1,1,0,2,1,1,,1,Mallory,Brieta
3,4,1,3,1,-1,-1,1,3,1,0,0,1,0,2,1,-1,1,,Karly,Merna
3,4,1,0,0,2,-1,5,1,3,0,1,0,1,2,0,1,0,0,Dorothy,Kathie
2,4,-1,-1,1,-1,,4,2,3,1,1,0,1,0,1,-1,0,,Maud,Guthrie
4,5,0,2,,2,3,,2,3,0,0,0,0,2,1,-1,0,0,Berget,Helfand
4,0,0,3,1,,1,6,2,3,1,0,0,0,2,0,0,0,,Albertina,Hanleigh
4,2,2,0,1,,,5,2,1,0,1,0,0,1,0,0,1,,Julieta,Catie
0,4,0,0,1,0,2,1,0,2,0,1,1,1,2,0,0,,0,Dorthy,Milde
1,5,2,3,,2,1,6,0,1,1,0,0,0,1,1,0,0,1,Fredericka,Catie
2,6,1,3,1,3,3,2,3,0,1,1,0,0,0,0,-1,-1,0,Lulita,Dulciana
3,5,1,1,0,3,3,5,3,1,1,1,0,0,2,1,0,1,0,Letizia,Bevin
3,5,-1,3,1,3,0,3,3,2,0,0,1,1,0,0,0,0,1,Donetta,Sothena
3,6,1,3,0,2,,2,0,2,1,1,0,0,1,1,-1,0,1,Ninnetta,Dorine
4,1,1,2,0,0,,5,2,3,1,1,0,0,0,0,0,-1,-1,Ivett,Reidar
1,6,1,1,0,,1,2,2,0,0,0,1,1,2,0,1,,1,Hollie,Grobe
4,3,-1,3,0,1,0,2,2,0,0,1,1,0,0,0,0,,0,Merle,Virgin
0,1,-1,-1,1,3,2,,0,2,1,1,1,0,0,1,1,-1,-1,Norine,Rosalba
1,5,2,3,0,,,5,2,1,0,0,1,0,1,1,0,,,Pierette,Zetta
0,3,2,1,,1,-1,1,1,1,1,1,1,1,2,0,-1,1,,Cam,Sabella
1,2,-1,2,0,,-1,4,0,2,0,1,1,1,1,1,0,1,,Sue,Earlie
2,2,2,1,1,-1,2,3,3,4,1,1,0,0,1,1,1,-1,,Pierette,Orpah
3,1,-1,-1,1,,-1,1,1,1,0,0,0,0,0,1,0,-1,1,Ayn,Cleavland
2,6,2,-1,,2,2,6,1,1,0,1,1,1,0,1,-1,,0,Maisey,Hermes
4,5,1,2,0,-1,2,3,1,0,1,0,0,0,0,0,1,0,,Chastity,Jammal
0,0,1,1,,-1,1,4,3,1,0,0,1,1,0,1,-1,,,Rhea,Pacorro
1,6,0,0,0,3,1,4,0,1,1,1,1,1,2,0,1,-1,1,Bee,Edmund
1,5,-1,1,,0,,1,1,1,0,0,1,0,1,0,1,-1,0,Elfreda,Truc
0,4,0,3,1,1,2,3,3,4,1,1,1,1,0,1,1,0,1,Marsiella,Catie
2,0,-1,1,0,1,0,,0,2,0,1,0,0,0,0,-1,0,0,Petronia,Dalli
4,2,-1,3,,1,0,0,0,3,1,0,0,0,2,0,-1,0,-1,Leontine,Carey
3,5,2,1,,-1,2,,1,1,1,0,1,0,2,0,0,0,0,Phylis,Campball
3,2,2,1,0,-1,-1,1,2,1,1,0,0,0,0,0,1,1,1,Jinny,Delacourt
2,0,-1,0,0,,,0,0,0,1,0,0,0,0,0,-1,1,-1,Flo,Noman
4,0,2,2,0,0,3,-1,0,4,0,1,1,0,1,1,-1,-1,1,Lacie,Colyer
1,1,2,1,0,-1,,5,0,2,1,0,0,0,1,1,0,-1,-1,Minda,Schonfeld
2,5,0,-1,1,-1,-1,4,3,4,0,1,0,0,1,0,0,,-1,Etta,Friede
0,1,-1,3,1,0,3,1,1,4,0,1,0,1,2,0,0,0,1,Bobbi,Revkah
1,6,-1,2,0,3,1,0,1,3,1,0,1,0,1,1,0,-1,1,Ebonee,Markman
4,0,-1,2,,2,-1,6,0,0,0,1,1,0,1,1,-1,1,1,Jinny,Jess
2,3,0,3,1,3,1,,1,2,1,1,0,1,1,0,0,1,1,Hannis,Chauncey
3,2,2,3,0,3,,,2,1,1,0,1,0,1,1,-1,,1,Rubie,Guildroy
3,2,0,1,,-1,2,6,1,1,0,0,0,0,1,1,0,0,-1,Kittie,Glenden
2,3,2,1,0,,2,2,3,2,1,0,1,0,2,0,1,-1,,Aigneis,Blase
1,6,2,3,1,1,,3,1,2,1,0,0,1,2,1,1,-1,-1,Celisse,Engdahl
3,3,-1,1,,2,1,5,1,1,0,1,0,1,0,0,1,,-1,Calla,Milson
3,4,1,0,1,0,-1,4,3,4,0,0,1,1,1,0,1,0,,Atlanta,Thar
2,1,2,-1,,,2,6,0,3,0,0,1,1,0,1,0,-1,0,Nariko,Wittie
2,3,0,3,0,2,1,,0,4,1,1,1,1,0,0,0,,1,Lyssa,Brackely
0,2,0,0,,,-1,6,1,2,0,1,1,1,1,0,1,-1,0,Dennie,Ursulette
3,0,-1,2,1,,3,,1,4,0,1,1,0,2,0,-1,0,1,Kittie,O'Rourke
2,4,0,2,1,3,2,5,0,3,1,1,1,1,2,0,-1,1,,Hettie,Abram
1,6,1,-1,0,3,,0,1,4,0,0,1,1,0,0,0,1,0,Cyb,Brittani
0,4,0,1,0,2,0,6,2,2,1,0,0,1,1,1,0,,,Pamella,Yerkovich
2,5,1,3,1,1,2,6,2,4,0,1,0,0,1,0,-1,0,0,Ruthe,Halla
4,4,-1,-1,,1,,,2,1,1,1,0,0,1,0,-1,,-1,Marleah,Santoro
3,4,2,0,1,-1,1,0,0,3,0,0,0,1,1,0,-1,1,,Pearline,Kunin
4,0,2,-1,,1,1,6,1,3,0,1,0,1,0,1,0,-1,-1,Noelle,Bow
0,3,0,-1,1,3,2,5,3,2,0,1,1,1,0,1,0,-1,-1,Beverley,Celestine
1,1,1,0,0,,3,,3,2,1,0,0,1,0,1,0,0,1,Ericka,Harl
2,0,-1,-1,,3,3,-1,3,4,1,0,0,1,2,0,-1,,-1,Sara-Ann,Mitzi
4,1,-1,0,,0,,3,0,1,1,0,0,1,2,0,0,0,,Winny,Clara
2,4,-1,1,0,3,-1,2,1,3,0,0,1,1,0,1,1,-1,,Rebeca,Haymes
3,1,-1,1,0,2,,6,2,4,0,0,1,1,2,0,0,,0,Lorie,Ovid
0,5,0,1,1,0,,2,2,0,0,1,1,1,1,1,-1,,0,Norine,Susannah
4,6,1,3,,-1,0,2,3,4,0,1,0,1,0,1,-1,,,Ellette,Niles
1,1,1,-1,1,1,2,6,1,4,0,0,1,0,1,0,-1,,1,Kittie,Stuart
0,5,0,2,,2,-1,3,0,4,0,1,1,0,0,1,-1,0,0,Dede,Sundin
3,1,1,-1,0,-1,,0,2,0,0,1,0,0,2,1,0,1,0,Rubie,Konyn
1,1,-1,2,1,,0,0,0,4,1,0,1,0,0,1,-1,,,Bibby,Tarrant
1,4,2,3,1,0,3,5,2,3,1,1,1,0,2,0,0,-1,,Katuscha,Daniele
1,5,1,0,0,3,-1,2,0,1,1,0,1,1,2,1,1,0,0,Loree,Zuzana
0,0,2,3,0,,3,0,3,2,1,1,0,1,2,1,-1,,1,Nita,Maxi
3,6,0,3,0,1,,,1,2,0,0,0,0,2,0,1,0,-1,Inga,Tatianas
4,3,0,2,1,-1,0,5,2,2,0,1,1,0,0,0,0,0,-1,Eadie,Raama
4,6,-1,1,,2,,2,2,2,1,0,0,0,1,1,-1,-1,-1,Esmeralda,Zachary
3,5,-1,0,1,,,6,3,4,0,0,0,0,2,1,1,0,-1,Danika,Leffen
2,5,-1,1,0,2,,4,1,1,0,1,1,0,1,1,1,,,Suzette,Haymes
0,5,1,-1,1,0,-1,1,3,3,1,1,1,0,0,0,1,,,Keelia,Dash
2,4,2,0,1,-1,0,1,3,4,1,1,1,0,0,0,0,-1,,Verla,Nisbet
0,2,-1,2,0,3,3,,1,2,1,1,1,1,2,0,1,1,0,Fanchon,Dex
2,6,0,0,1,0,,4,2,1,1,0,1,1,0,0,1,1,,Madeleine,Fleeta
1,5,1,0,1,3,1,0,3,0,1,0,1,1,0,0,-1,-1,,Liana,Harday
1,4,1,2,,2,-1,-1,3,4,0,0,0,0,1,1,0,0,1,Stephanie,Hortensia
4,6,-1,3,0,2,,1,3,4,1,1,1,0,2,1,-1,0,-1,Lulita,Ivens
2,6,2,3,,3,2,3,2,3,1,0,1,1,1,1,0,0,1,Joy,Geffner
4,3,2,1,0,0,2,3,2,3,0,0,1,0,0,0,1,,,Kirbee,Lory
3,5,-1,0,0,3,1,3,2,2,1,0,0,0,1,0,-1,1,,Darci,Sprage
1,4,2,-1,0,3,-1,4,3,1,1,0,1,0,0,0,0,,-1,Shell,Bigner
2,6,2,3,1,,1,,2,0,1,0,0,1,1,1,1,0,,Kimberley,Dulciana
4,1,2,1,1,1,2,0,2,0,0,1,0,1,0,0,1,0,-1,Nicoli,Bluh
0,5,-1,3,,2,,0,3,4,1,1,0,0,0,1,-1,0,1,Ursulina,Izaak
1,2,2,3,1,2,3,3,3,4,1,0,1,0,1,1,1,,,Meg,Salvidor
3,3,-1,0,0,0,3,-1,1,4,1,1,0,1,1,0,1,0,,Hope,Morgun
2,5,1,3,,3,2,2,0,1,1,1,0,1,0,1,1,-1,0,Alameda,Primalia
0,4,0,1,1,-1,,4,3,2,0,0,1,0,1,1,-1,,-1,Orsola,Campball
1,0,2,-1,,0,,0,2,3,0,0,0,0,2,1,-1,0,0,Sadie,Garlinda
4,4,2,0,1,-1,3,0,1,0,1,1,1,0,1,1,1,,0,Claresta,Alcott
4,4,0,-1,0,0,-1,2,0,2,0,1,0,1,0,1,0,1,0,Rhea,Sabella
4,0,0,3,,1,3,2,3,2,1,1,1,1,1,0,0,0,-1,Brooks,Jaylene
4,1,1,0,0,,-1,2,3,0,1,1,0,0,1,1,-1,1,-1,Alia,Muriel
4,5,0,-1,0,2,0,3,3,0,0,0,0,1,0,1,-1,0,1,Mildrid,Pascia
2,1,0,0,0,,2,,1,3,1,1,1,1,2,0,0,0,1,Rosaline,Noelyn
2,4,0,1,1,,,-1,3,4,1,0,0,1,0,0,0,-1,,Lucy,Wenoa
4,5,2,2,,-1,3,4,3,4,1,0,0,0,2,0,1,1,,Siana,Sperling
3,3,1,2,0,0,,5,3,2,1,0,1,1,0,0,1,-1,0,Calla,Arley
3,3,-1,1,0,2,,,3,1,1,1,0,1,1,1,-1,,-1,Aimil,Smitt
0,5,-1,2,1,2,1,-1,1,0,0,0,0,1,0,1,-1,-1,1,Darci,Publia
4,2,-1,3,0,1,2,4,0,1,1,0,0,1,0,0,-1,1,1,Carol-Jean,Izaak
2,6,-1,3,0,2,0,0,2,2,0,0,1,1,0,0,1,1,1,Kary,Wilkinson
1,6,0,2,0,1,1,5,2,4,1,1,1,1,1,1,1,1,,Malina,Kevon
4,1,0,1,1,3,,,3,4,0,0,1,1,2,1,1,0,1,Farrah,Macey
3,5,1,1,,3,3,-1,1,0,1,1,1,1,2,0,1,1,-1,Kamilah,Cherianne
1,2,1,0,,2,-1,5,2,3,0,0,1,1,0,1,0,0,0,Ernesta,Kunin
2,4,0,2,0,0,3,2,2,3,0,0,0,0,1,0,-1,-1,0,Olwen,Hoban
4,3,1,1,1,2,1,5,2,1,0,1,0,0,0,1,1,0,-1,Carlie,Fabiola
1,2,-1,1,1,1,2,,1,0,1,1,1,0,0,1,0,1,-1,Dulcinea,Bonucci
0,6,2,3,0,-1,1,5,0,1,1,0,1,0,1,1,-1,1,1,Tiffie,Posner
1,2,-1,3,,-1,1,3,1,2,0,1,0,0,2,1,1,0,1,Olwen,Bow
2,2,0,-1,1,,3,6,1,2,0,1,1,1,0,0,1,1,-1,Daune,Winthorpe
3,3,0,1,,3,-1,-1,0,3,0,1,0,0,0,1,0,,-1,Frances,Hillel
2,6,2,-1,0,1,2,1,1,4,0,1,1,0,1,0,0,-1,0,Anestassia,Jalbert
3,2,-1,-1,,3,3,3,1,2,0,1,0,1,0,0,-1,0,0,Gui,Cleavland
2,3,1,0,,3,-1,1,2,2,1,0,1,0,0,1,-1,1,0,Genevra,Chem
1,2,1,2,0,3,-1,0,1,0,0,1,1,1,1,0,1,1,-1,Rhea,Moseley
1,6,1,3,,3,3,0,1,4,0,0,0,1,2,1,-1,-1,1,Berta,Rona
2,1,-1,0,,-1,2,3,1,4,0,0,1,0,2,1,1,1,0,Cristine,Leffen
1,2,0,3,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,Mamie,Haerr
0,0,0,0,1,,,,3,1,1,1,0,1,2,1,1,1,0,Dione,Posner
1,2,2,-1,,3,1,0,0,2,1,1,1,1,1,0,1,-1,,Judy,Rurik
4,1,1,1,0,2,1,0,0,1,0,1,1,0,0,1,0,0,,Riannon,Vharat
4,6,-1,0,0,,3,2,2,1,1,0,1,0,2,1,1,1,0,Ida,Caitlin
3,5,1,-1,0,1,0,2,2,0,0,0,1,0,0,1,-1,-1,,Rubie,Buffum
1,5,-1,-1,0,2,-1,0,2,1,0,0,0,1,1,1,0,0,1,Rubie,Edison
2,2,-1,0,1,0,3,1,1,4,0,1,0,1,0,1,-1,,-1,Bernardine,Darbie
3,1,-1,1,,,3,1,3,1,1,0,1,0,1,0,0,-1,0,Raquela,Weinreb
0,6,1,2,1,3,,6,3,0,1,0,0,0,2,1,1,0,,Lulita,Wilona
3,0,1,3,,0,0,3,2,1,0,0,0,0,1,0,-1,,1,Christy,Jillane
4,5,0,-1,1,,2,0,0,1,1,1,0,1,2,0,1,-1,1,Netty,Maples
0,3,1,0,1,3,2,-1,2,4,0,0,0,0,0,0,-1,0,,Di,Wesle
0,0,0,-1,1,0,2,3,3,2,1,1,0,0,2,1,-1,-1,1,Sheree,Madox
4,2,-1,2,,1,,4,2,1,0,1,1,0,2,1,0,1,-1,Norine,Malanie
4,3,-1,0,0,2,-1,3,2,2,1,1,1,1,2,1,0,0,-1,Eadie,Sharl
0,5,0,-1,0,,,3,2,0,1,0,1,1,1,0,-1,-1,,Babita,Malanie
4,0,2,3,,2,3,0,3,4,1,0,0,1,1,0,0,-1,,Ruthe,Goerke
4,3,1,-1,1,-1,-1,3,1,3,1,1,0,1,0,0,1,0,-1,Aili,Kazimir
0,6,0,0,0,3,,6,2,1,1,1,1,0,0,0,-1,-1,1,Clary,Fleeta
1,1,2,0,,0,,3,3,1,1,1,1,0,2,0,0,1,0,Jeanna,Howlyn
2,2,1,-1,1,1,2,3,2,2,1,1,0,0,1,0,-1,1,,Olivette,Hachmin
1,0,1,3,1,0,-1,4,1,1,1,1,1,0,1,1,-1,-1,0,Chastity,Karna
0,0,2,-1,,-1,2,0,2,4,1,1,1,0,2,0,-1,,1,Maurene,Brodench
2,1,2,3,,,,,0,0,0,0,0,1,0,0,-1,-1,,Luci,Dash
0,3,1,2,0,1,-1,4,2,4,0,1,0,0,2,1,1,0,,Chandra,Arquit
1,5,1,0,1,-1,0,,1,4,0,0,1,1,1,1,0,-1,0,Dode,Ietta
2,6,-1,3,1,0,1,6,0,0,1,0,0,0,1,0,-1,0,-1,Shannah,Gwenore
3,1,0,2,1,2,0,0,3,4,1,0,1,1,2,1,1,,,Robinia,Valerio
2,0,-1,-1,,-1,0,6,1,4,0,0,0,1,1,1,-1,0,-1,Betta,Firmin
3,3,2,2,,-1,0,3,0,2,0,0,0,0,2,1,-1,-1,,Lucille,Honoria
3,5,1,0,,-1,2,,2,1,0,0,1,1,0,0,0,1,1,Mara,Codding
3,4,2,3,,2,-1,2,2,3,0,1,1,0,1,1,0,0,1,Talya,Penelopa
2,1,1,-1,,3,-1,3,1,1,1,0,0,1,2,0,0,1,-1,Selia,Howlyn
0,0,0,3,0,2,1,2,1,1,0,1,0,0,1,0,0,1,0,Valeda,Tiffa
2,6,2,1,,1,-1,1,1,0,0,0,0,0,2,0,0,,,Bibby,Koehler
0,2,2,-1,1,3,2,5,2,1,0,0,1,1,0,1,0,1,-1,Nannie,Seligman
2,0,-1,3,,2,-1,2,1,1,1,0,0,0,0,1,1,0,0,Veda,Sekofski
3,5,1,2,0,3,1,4,2,1,1,0,1,0,2,1,0,0,0,Madeleine,Taima
1,2,1,-1,0,2,,3,3,2,1,1,1,0,0,0,1,0,-1,Maud,Persse
2,0,0,-1,1,0,1,6,2,3,1,1,1,1,0,0,0,-1,-1,Atlanta,O'Neill
2,4,0,3,1,2,1,2,2,1,0,0,1,0,0,1,-1,1,0,Aubrie,Sisile
2,5,0,1,0,0,,1,0,2,0,0,0,0,2,0,1,1,-1,Elfreda,Joeann
3,6,-1,2,0,3,0,5,2,4,1,1,1,0,1,1,-1,-1,0,Rubie,Winthorpe
1,3,2,-1,0,2,3,3,3,2,0,0,1,1,2,0,-1,1,,Raina,Sherfield
1,2,2,3,,1,,,3,4,0,1,0,1,2,0,1,,1,Tracey,Longfellow
0,0,1,2,1,1,3,6,2,4,0,1,0,0,0,0,-1,0,1,Marinna,Raama
1,1,1,1,0,1,3,5,3,0,1,0,0,0,1,0,-1,,0,Nessie,Adalbert
2,0,-1,1,0,,-1,2,0,2,1,0,0,1,1,1,1,,-1,Goldie,Dielu
4,3,0,2,1,0,3,5,1,2,0,0,0,1,0,1,0,0,1,Bertine,Germann
2,4,-1,2,1,2,-1,6,0,4,0,1,0,1,1,0,1,-1,1,Gavrielle,Brotherson
2,4,0,2,,2,0,3,2,2,1,0,0,1,1,1,0,1,1,Caryl,Roxanna
3,5,1,1,,1,1,,0,2,1,1,0,0,0,1,-1,0,-1,Nariko,Cleo
4,0,2,0,0,3,1,-1,3,4,0,0,0,1,2,0,0,,-1,Pierette,Ochs
0,2,1,-1,1,2,2,2,2,0,0,0,0,1,1,1,-1,0,0,Basia,Jeanne
2,5,2,0,0,0,-1,3,0,0,1,0,0,1,0,0,0,,-1,Bernie,Schwejda
2,4,-1,1,1,-1,,0,3,4,0,0,0,0,1,1,1,-1,-1,Ketti,Vivle
1,5,1,2,0,,,6,2,2,0,1,0,0,0,0,1,-1,,Sindee,Kinnard
4,1,2,3,0,1,,5,0,0,1,1,0,1,1,1,1,1,-1,Augustine,Fadiman
0,5,2,1,1,3,1,-1,1,2,0,0,0,1,0,0,-1,,0,Dyann,Gibbeon
0,1,1,3,0,1,,4,1,0,0,1,1,0,1,1,-1,1,,Therine,Juliet
2,5,1,1,1,3,1,2,0,3,0,1,0,0,0,1,1,0,-1,Lindie,Rad
1,0,0,3,0,2,1,1,2,0,1,0,1,0,0,0,0,-1,-1,Willetta,Raimondo
4,4,1,2,1,0,0,-1,3,3,0,0,1,1,0,1,-1,-1,,Harmonia,Jillane
2,6,-1,-1,,,3,4,1,3,1,1,0,0,0,0,-1,1,-1,Edith,Tillford
4,3,-1,2,1,,,1,3,1,1,1,1,0,1,0,1,-1,0,Danny,Katrine
4,3,0,2,0,3,3,5,3,0,0,1,0,0,2,0,1,-1,,Myrtice,Johnsson
3,0,1,2,,-1,2,3,0,3,0,1,1,0,2,1,-1,1,0,Konstance,Phyllis
4,3,1,3,0,,1,5,3,3,1,0,1,1,0,0,-1,-1,,Ardenia,Kinnard
3,4,2,0,,2,1,0,0,0,0,0,1,0,2,0,0,-1,-1,Myrtice,Brady
2,5,0,0,,-1,0,5,3,3,1,0,1,0,0,1,-1,1,-1,Melisent,Toffic
1,3,1,-1,,0,0,1,0,3,1,0,1,0,2,1,0,,,Wendi,Ferino
2,0,2,0,0,0,2,6,3,0,1,1,0,0,1,0,-1,-1,-1,Isa,Delila
3,1,0,2,0,1,1,2,0,1,1,0,1,0,2,1,0,,1,Claresta,Vivle
4,0,2,0,1,3,1,6,0,3,0,1,1,1,2,0,-1,1,-1,Bibby,Graig
0,3,-1,2,0,0,3,4,3,1,0,0,1,0,2,1,-1,,,Tami,Hilbert
0,5,2,-1,1,1,-1,0,1,4,1,1,0,0,1,1,0,-1,,Alisha,Olin
4,3,1,3,1,2,,,2,4,0,0,1,0,0,0,0,-1,,Morganica,Marijo
2,1,0,-1,1,-1,,5,0,0,0,1,0,0,1,0,0,1,,Sara-Ann,Heisel
0,6,1,0,1,3,,-1,1,2,0,0,0,0,2,0,1,1,1,Emelina,Ruvolo
4,2,-1,2,1,,2,-1,0,0,1,0,1,0,1,0,-1,0,-1,Dale,Oriana
4,1,0,2,,,3,0,2,4,1,1,1,1,2,1,0,,,Ardys,Janene
4,2,0,-1,0,,0,2,3,0,0,1,0,1,2,0,1,0,,Phylis,Kinnard
3,2,0,1,,1,,0,0,4,1,1,0,1,1,0,1,,,Elena,MacIntosh
1,1,-1,1,0,-1,0,4,1,3,0,1,0,0,1,1,1,1,0,Henriette,Dom
0,5,-1,3,,3,,2,3,0,1,0,1,0,1,0,-1,0,1,Agathe,Emmaline
0,5,0,1,,,0,5,3,4,0,1,0,1,0,0,-1,0,1,Sharlene,Kylander
4,0,-1,2,,3,1,3,1,1,0,1,1,1,2,0,0,,0,Almeta,Israeli
4,4,-1,2,1,1,3,-1,2,0,0,1,0,0,0,0,-1,1,0,Petronia,Mandler
2,2,-1,1,1,-1,1,5,1,2,0,1,0,1,1,1,1,-1,0,Fredericka,Lunsford
4,5,0,2,1,,0,1,1,2,0,1,1,0,2,1,1,-1,0,Kassey,Ruvolo
4,3,0,-1,1,1,1,5,0,1,1,1,1,1,2,0,1,0,-1,Gale,Joni
0,2,2,-1,0,0,0,3,1,2,1,1,0,1,0,0,1,0,0,Kristan,Dielu
3,6,1,-1,0,2,1,2,2,0,1,0,0,1,0,0,-1,1,1,Amalie,Wind
2,3,-1,3,,-1,,3,0,0,1,0,0,1,2,1,1,0,-1,Jobi,Soneson
4,1,-1,2,,1,0,3,2,3,1,1,0,0,1,1,0,1,,Verla,Amadas
0,1,2,0,,1,2,0,0,4,1,0,1,1,1,0,-1,0,1,Sindee,Korey
1,3,-1,1,,,-1,1,2,3,1,0,0,0,2,0,0,0,-1,Margarette,Jacobah
0,1,0,3,1,3,2,2,2,4,0,1,0,0,0,0,1,,0,Rhoda,Zetta
4,2,0,3,,-1,3,4,3,2,0,0,1,1,1,0,-1,0,0,Kaja,Norrie
3,1,2,-1,,-1,0,1,2,4,0,0,0,0,2,0,0,,,Gloria,Kussell
3,4,-1,0,0,3,-1,,1,1,0,1,1,1,0,1,-1,,,Gui,Lipson
1,4,-1,1,0,3,,-1,1,4,1,1,0,0,1,0,1,1,1,Jessy,Linskey
0,6,1,2,0,0,3,1,1,3,0,1,1,1,2,0,0,,,Arlena,Letsou
4,0,0,1,1,,3,5,2,4,1,0,1,0,1,0,-1,0,-1,Latisha,Korey
4,3,-1,0,1,-1,-1,5,1,1,1,1,0,1,0,1,0,-1,-1,Kirbee,Thema
0,3,1,-1,0,1,,2,2,1,1,0,1,1,1,0,1,1,0,Correy,Laverne
4,4,1,0,0,,0,,2,2,0,0,0,0,2,0,-1,0,,Starla,Old
1,1,2,2,0,1,0,0,0,2,1,1,0,0,2,0,-1,,1,Quintina,Parette
4,3,0,1,,0,1,6,1,0,1,1,0,1,2,1,-1,-1,,Antonietta,Aprile
2,3,0,1,1,1,2,0,0,0,1,1,0,1,0,0,1,0,-1,Lorie,Goerke
0,1,1,-1,1,1,3,3,3,3,1,1,1,1,0,0,0,0,-1,Ardenia,Colbert
3,0,0,3,0,0,0,4,1,1,0,0,1,0,0,1,0,1,-1,Deloria,Gherardo
4,0,1,0,0,,3,6,3,1,1,0,1,1,1,0,-1,,-1,Katuscha,Adrienne
1,0,1,3,,1,-1,4,2,4,1,0,0,0,1,1,-1,1,,Rosabelle,Velick
1,1,1,3,1,3,1,1,3,2,0,0,0,1,0,0,0,0,0,Kaia,Weitman
4,5,-1,2,,-1,0,-1,3,1,0,0,1,0,2,0,1,1,-1,Rebeca,Nelsen
4,1,1,-1,1,3,2,3,2,2,1,0,1,0,1,1,-1,1,,Rivalee,Alejoa
4,2,1,3,1,-1,2,4,2,1,0,1,1,0,2,0,-1,-1,0,Nariko,Destinee
